Measure_Name,series_name,period_dt,mjr_wrk,value
C-diff per 10K Pt Days,HI-MOA,2011-06-30,0,8.83400
C-diff per 10K Pt Days,HI-MOA,2011-09-30,0,6.47400
C-diff per 10K Pt Days,HI-MOA,2011-12-31,0,6.38500
C-diff per 10K Pt Days,HI-MOA,2012-03-31,0,6.59700
C-diff per 10K Pt Days,HI-MOA,2012-06-30,0,5.81000
C-diff per 10K Pt Days,HI-MOA,2012-09-30,0,6.09400
C-diff per 10K Pt Days,HI-MOA,2012-12-31,0,5.38700
C-diff per 10K Pt Days,HI-MOA,2013-03-31,0,5.52400
C-diff per 10K Pt Days,HI-MOA,2013-06-30,0,4.32100
C-diff per 10K Pt Days,HI-MOA,2013-09-30,0,4.84400
C-diff per 10K Pt Days,HI-MOA,2013-12-31,0,5.42100
C-diff per 10K Pt Days,HI-MOA,2014-03-31,0,5.31700
C-diff per 10K Pt Days,HI-MOA,2014-06-30,0,5.73000
C-diff per 10K Pt Days,HI-MOA,2014-09-30,0,6.28000
C-diff per 10K Pt Days,HI-MOA,2014-12-31,0,6.75000
C-diff per 10K Pt Days,HI-MOA,2015-03-31,0,6.21000
C-diff per 10K Pt Days,HI-MOA,2015-06-30,0,5.85000
C-diff per 10K Pt Days,HI-MOA,2015-09-30,0,4.59000
C-diff per 10K Pt Days,HI-MOA,2015-12-31,0,4.59000
C-diff per 10K Pt Days,HI-MOA,2016-03-31,0,6.43000
C-diff per 10K Pt Days,HI-MOA,2016-06-30,0,7.23000
C-diff per 10K Pt Days,HI-MOA,2016-09-30,0,7.28000
C-diff per 10K Pt Days,HI-Rgn,2011-06-30,0,8.83400
C-diff per 10K Pt Days,HI-Rgn,2011-09-30,0,6.47400
C-diff per 10K Pt Days,HI-Rgn,2011-12-31,0,6.38500
C-diff per 10K Pt Days,HI-Rgn,2012-03-31,0,6.59700
C-diff per 10K Pt Days,HI-Rgn,2012-06-30,0,5.81000
C-diff per 10K Pt Days,HI-Rgn,2012-09-30,0,6.09400
C-diff per 10K Pt Days,HI-Rgn,2012-12-31,0,5.38700
